ImageID,ExpertID,Factor,Score
Img_001,Expert_1,Location,5
Img_001,Expert_1,Colour_Texture,5
Img_001,Expert_1,Shape,5
Img_001,Expert_1,Overall,5
Img_001,Expert_2,Location,4
Img_001,Expert_2,Colour_Texture,3
Img_001,Expert_2,Shape,5
Img_001,Expert_2,Overall,4
Img_001,Expert_3,Location,4
Img_001,Expert_3,Colour_Texture,3
Img_001,Expert_3,Shape,4
Img_001,Expert_3,Overall,5
Img_001,Expert_4,Location,3
Img_001,Expert_4,Colour_Texture,4
Img_001,Expert_4,Shape,4
Img_001,Expert_4,Overall,3
Img_001,Expert_5,Location,4
Img_001,Expert_5,Colour_Texture,3
Img_001,Expert_5,Shape,3
Img_001,Expert_5,Overall,3
Img_002,Expert_1,Location,4
Img_002,Expert_1,Colour_Texture,3
Img_002,Expert_1,Shape,3
Img_002,Expert_1,Overall,5
Img_002,Expert_2,Location,5
Img_002,Expert_2,Colour_Texture,5
Img_002,Expert_2,Shape,4
Img_002,Expert_2,Overall,4
Img_002,Expert_3,Location,3
Img_002,Expert_3,Colour_Texture,4
Img_002,Expert_3,Shape,3
Img_002,Expert_3,Overall,3
Img_002,Expert_4,Location,5
Img_002,Expert_4,Colour_Texture,3
Img_002,Expert_4,Shape,4
Img_002,Expert_4,Overall,5
Img_002,Expert_5,Location,3
Img_002,Expert_5,Colour_Texture,4
Img_002,Expert_5,Shape,3
Img_002,Expert_5,Overall,5
Img_003,Expert_1,Location,3
Img_003,Expert_1,Colour_Texture,5
Img_003,Expert_1,Shape,3
Img_003,Expert_1,Overall,4
Img_003,Expert_2,Location,4
Img_003,Expert_2,Colour_Texture,5
Img_003,Expert_2,Shape,4
Img_003,Expert_2,Overall,5
Img_003,Expert_3,Location,5
Img_003,Expert_3,Colour_Texture,3
Img_003,Expert_3,Shape,3
Img_003,Expert_3,Overall,4
Img_003,Expert_4,Location,4
Img_003,Expert_4,Colour_Texture,3
Img_003,Expert_4,Shape,5
Img_003,Expert_4,Overall,3
Img_003,Expert_5,Location,5
Img_003,Expert_5,Colour_Texture,4
Img_003,Expert_5,Shape,3
Img_003,Expert_5,Overall,4
Img_004,Expert_1,Location,5
Img_004,Expert_1,Colour_Texture,3
Img_004,Expert_1,Shape,5
Img_004,Expert_1,Overall,5
