image_path,fruit,defect_class,passed_filters,filter_details
final_dataset\apple\bruise\img_pair_000_00.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_000_01.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_000_02.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_001_00.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_001_01.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_001_02.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_002_00.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_002_01.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_002_02.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_003_00.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_003_01.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_003_02.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_004_00.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_004_01.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\bruise\img_pair_004_02.png,apple,bruise,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_000_00.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_000_01.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_000_02.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_001_00.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_001_01.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_001_02.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_002_00.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_002_01.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_002_02.png,apple,deformation,True,Passed: All constraints satisfied
synthetic\apple\deformation\img_pair_003_00.png,apple,deformation,False,Failed: Mask coverage too small
synthetic\apple\deformation\img_pair_003_01.png,apple,deformation,False,Failed: Mask coverage too small
final_dataset\apple\deformation\img_pair_003_02.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_004_00.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_004_01.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\deformation\img_pair_004_02.png,apple,deformation,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_000_00.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_000_01.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_000_02.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_001_00.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_001_01.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_001_02.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_002_00.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_002_01.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_002_02.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_003_00.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_003_01.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_003_02.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_004_00.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_004_01.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\discoloration\img_pair_004_02.png,apple,discoloration,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_000_00.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_000_01.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_000_02.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_001_00.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_001_01.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_001_02.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_002_00.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_002_01.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_002_02.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_003_00.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_003_01.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_003_02.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_004_00.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_004_01.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\apple\fungal_infection\img_pair_004_02.png,apple,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_000_00.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_000_01.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_000_02.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_001_00.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_001_01.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_001_02.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_002_00.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_002_01.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_002_02.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_003_00.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_003_01.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_003_02.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_004_00.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_004_01.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_004_02.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_005_00.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_005_01.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\bruise\img_pair_005_02.png,citrus,bruise,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_000_00.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_000_01.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_000_02.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_001_00.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_001_01.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_001_02.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_002_00.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_002_01.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_002_02.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_003_00.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_003_01.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_003_02.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_004_00.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_004_01.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_004_02.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_005_00.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_005_01.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\deformation\img_pair_005_02.png,citrus,deformation,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_000_00.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_000_01.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_000_02.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_001_00.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_001_01.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_001_02.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_002_00.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_002_01.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_002_02.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_003_00.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_003_01.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_003_02.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_004_00.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_004_01.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_004_02.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_005_00.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_005_01.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\discoloration\img_pair_005_02.png,citrus,discoloration,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_000_00.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_000_01.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_000_02.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_001_00.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_001_01.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_001_02.png,citrus,fungal_infection,True,Passed: All constraints satisfied
synthetic\citrus\fungal_infection\img_pair_002_00.png,citrus,fungal_infection,False,Failed: Mask coverage too small
final_dataset\citrus\fungal_infection\img_pair_002_01.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_002_02.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_003_00.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_003_01.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_003_02.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_004_00.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_004_01.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_004_02.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_005_00.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_005_01.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\citrus\fungal_infection\img_pair_005_02.png,citrus,fungal_infection,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_000_00.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_000_01.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_000_02.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_001_00.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_001_01.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_001_02.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_002_00.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_002_01.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_002_02.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_003_00.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_003_01.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_003_02.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_004_00.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_004_01.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\bruise\img_pair_004_02.png,mango,bruise,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_000_00.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_000_01.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_000_02.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_001_00.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_001_01.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_001_02.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_002_00.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_002_01.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_002_02.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_003_00.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_003_01.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_003_02.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_004_00.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_004_01.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\deformation\img_pair_004_02.png,mango,deformation,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_000_00.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_000_01.png,mango,discoloration,True,Passed: All constraints satisfied
final_dataset\mango\discoloration\img_pair_000_02.png,mango,discoloration,True,Passed: All constraints satisfied
